"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"WPR26LA073","ACC","202222","2025-12-27T13:09:00Z","Needles","California","United States",,"N2312T","2011 1410","false","Aviation","",,,"None","0","0","0","0",,,,,"34.766347000000003","-114.62327000000001","EVEKTOR - AEROTECHNIK A S","SPORTSTAR MAX","AIR","EED","NEEDLES","false","1",,,"PERS","091","Substantial","VMC","ATHENEAIR LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202222/pdf"
"WPR26FA069","ACC","202208","2025-12-24T14:30:00Z","Rio Linda","California","United States",,"N2785Q","32-688","false","Aviation","",,,"Fatal","1","1","0","2",,,,,"38.665999999999997","-121.44799999999999","PIPER","PA-32-260","AIR","L36","RIO LINDA","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202208/pdf"
"WPR26LA071","ACC","202220","2025-12-23T16:55:00Z","Lake Elsinore","California","United States",,"N272HM","1079","false","Aviation","DirectorBrief","2026-03-13T04:00:00Z","2026-03-13T17:00:00Z","None","0","0","0","0",,"The pilot’s intentional deployment of the airframe parachute system due to task-saturation in instrument meteorological conditions.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained, Personnel issues - Action/decision - Info processing/decision - Understanding/comprehension - Pilot, Personnel issues - Psychological - Cognitive limitation - Cognitive overload - Pilot",,"33.609200000000001","-117.43000000000001","CIRRUS DESIGN CORP","SR22T","AIR","SNA","JOHN WAYNE/ORANGE COUNTY","false","1","REC",,"BUS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=202220","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202220/pdf"
"WPR26LA065","ACC","202192","2025-12-19T22:30:00Z","South Park","California","United States",,"N8155S","15061755","false","Aviation","",,,"None","0","0","0","0",,,,,"33.559533999999999","-117.02795999999999","CESSNA","150F","AIR","NA",,"false","1",,"NSCH","PERS","091","Substantial",,,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202192/pdf"
"WPR26LA066","ACC","202194","2025-12-19T15:10:00Z","El Cajon","California","United States",,"N68830","755667","false","Aviation","DirectorBrief","2026-03-13T04:00:00Z","2026-03-13T17:00:00Z","None","0","0","0","0",,"The pilot's failure to maintain directional control during the landing roll.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation",,"32.827013999999998","-116.96803","BOEING","PT-13D","AIR","SEE","GILLESPIE FLD","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=202194","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202194/pdf"
"WPR26LA060","ACC","202173","2025-12-15T17:26:00Z","Tracy","California","United States",,"N360FV","E-4035","false","Aviation","",,,"Minor","0","0","1","1","0",,,,"37.692888000000004","-121.40115","BEECHCRAFT CORP","G36","AIR","TCY","Tracy Municipal","false","1",,,"PERS","091","Substantial","IMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202173/pdf"
"WPR26LA044","ACC","202004","2025-11-11T18:50:00Z","Fresno","California","United States",,"N1264K","3991","false","Aviation","DirectorBrief","2026-02-13T05:00:00Z","2026-02-12T18:00:00Z","None","0","0","0","0","0","The pilot's improper application of left brake pedal during the landing roll, which resulted in a loss of directional control and a ground loop.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Incorrect use/operation",,"36.776285000000001","-119.71955","LUSCOMBE","8A","AIR","FAT","FRESNO YOSEMITE INTL","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=202004","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202004/pdf"
"WPR26FA043","ACC","201989","2025-11-10T17:15:00Z","Poleta","California","United States",,"N13221","17262586","false","Aviation","",,,"Fatal","2","1","0","3",,,,,"37.29748","-118.20793","CESSNA","172M","AIR",,,"false","1",,"NSCH","PERS","091","Substantial","VMC","REGISTRATION PENDING","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201989/pdf"
"WPR26LA047","ACC","202018","2025-11-09T14:05:00Z","Lancaster","California","United States",,"N5199J","172S9097","false","Aviation","",,,"None","0","0","0","0",,,,,"34.741056","-118.21863","CESSNA","172S","AIR","WJF","GENERAL WM J FOX AIRFIELD","false","1",,,"PERS","091","Substantial","VMC","EIGHT BALL FLYING CLUB","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202018/pdf"
"WPR26LA038","ACC","201957","2025-11-03T14:50:00Z","San Andreas","California","United States",,"N1303S","18264869","false","Aviation","DirectorBrief","2026-02-13T05:00:00Z","2026-02-12T18:00:00Z","Serious","0","1","0","1","0","The pilot’s decision to adjust his seat during the takeoff roll, which resulted in the seat sliding aft and a subsequent loss of directional control.","Personnel issues - Action/decision - Action - Incorrect action selection - Pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,"38.144511000000001","-120.64888000000001","CESSNA","182P","AIR","CPU","Calaveras County Maury Rasmussen Field","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=201957","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201957/pdf"
"WPR26LA037","ACC","201956","2025-10-29T19:20:00Z","Santa Ynez","California","United States",,"N74323","AA5B-0201","false","Aviation","",,,"None","0","0","0","0",,,,,"34.605494","-120.08063","GRUMMAN AMERICAN AVN. CORP.","AA-5B","AIR","IZA","SANTA YNEZ/KUNKLE FLD","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201956/pdf"
"WPR26LA034","ACC","201936","2025-10-28T19:45:00Z","La Verne","California","United States",,"N5107S","28R-7135108","false","Aviation","",,,"None","0","0","0","0",,,,,"34.091667000000001","-117.78176999999999","PIPER","PA-28R-200","AIR","POC","BRACKETT FLD","false","1",,,"PERS","091","Substantial","VMC","JDC AVIATION LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201936/pdf"
"WPR26LA030","ACC","201912","2025-10-20T17:03:00Z","Long Beach","California","United States",,"N8183K","RAF-717","false","Aviation","",,,"Serious","0","2","0","1","1",,,,"33.830550000000002","-118.11232","RUTAN","Long-EZ","AIR","LGB","LONG BEACH (DAUGHERTY FLD)","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201912/pdf"
"WPR26LA023","ACC","201896","2025-10-15T12:06:00Z","Big Sur","California","United States",,"N335AX","41H-697458","false","Aviation","DirectorBrief","2026-01-15T05:00:00Z","2026-01-15T18:00:00Z","Minor","0","0","1","1",,"A complete loss of engine power for reasons that could not be determined.","Not determined - Not determined - (general) - (general) - Unknown/Not determined",,"36.180833","-121.90916","HAWKER AIRCRAFT LTD","HAWKER HUNTER MK.58","AIR","KMRY","Monterey Regional Airport","false","1","TJ",,"PUBF","ARMF","Substantial","VMC","AIRBORNE TACTICAL ADVANTAGE CO","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=201896","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201896/pdf"
"CEN26FA015","ACC","201834","2025-10-11T15:01:00Z","Huntington Beach","California","United States",,"N222EX","47043","false","Aviation","",,,"Serious","0","3","2","2","3",,,,"33.650627999999998","-117.99198","BELL","222","HELI",,,"false","2",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201834/pdf"
"WPR26LA009","ACC","201812","2025-10-07T14:00:00Z","Watsonville","California","United States",,"N6814N","680111","false","Aviation","DirectorBrief","2025-11-20T05:00:00Z","2025-11-20T18:00:00Z","None","0","0","0","0",,"The pilot’s decision to program avionics during taxi, resulting in an inadvertent throttle input and collision with a hangar.","Aircraft - Aircraft handling/service - Towing and taxiing - Taxiing - Incorrect use/operation, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Powerplant parameters - Incorrect use/operation",,"36.935732999999999","-121.78963","MOONEY","M20C","AIR","WVI","WATSONVILLE MUNI","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=201812","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201812/pdf"
"WPR26FA008","ACC","201802","2025-10-06T20:05:00Z","Sacramento","California","United States",,"N414RX","8909","false","Aviation","",,,"Fatal","1","2","0","3",,,,,"38.558523999999998","-121.45247999999999","AIRBUS HELICOPTERS","EC 130 T2","HELI",,,"false","1",,"NSCH",,"135","Substantial","VMC","REACH AIR MEDICAL SERVICES LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201802/pdf"
"WPR26LA015","ACC","201832","2025-10-04T14:45:00Z","Lathrop","California","United States",,"N103VK","172S8532","false","Aviation","",,,"None","0","0","0","0","0",,,,"37.845579999999998","-121.49025","CESSNA","172S","AIR","None","Open field","false","1",,,"INST","091","Substantial","VMC","Skyview Aviation","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201832/pdf"
"WPR25LA304","ACC","201798","2025-09-29T15:05:00Z","Avalon","California","United States",,"N2079G","51379","false","Aviation","",,,"None","0","0","0","0",,,,,"33.405650000000001","-118.41750999999999","CESSNA","182A","AIR","AVX","Catalina Airport","false","1",,,"PERS","091","Substantial",,,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201798/pdf"
"ANC25LA113","ACC","201752","2025-09-27T16:35:00Z","Los Banos","California","United States",,"N9410A","15231","false","Aviation","",,,"None","0","0","0","0",,,,,"37.058332999999998","-120.8685","CESSNA","140A","AIR","LSN","LOS BANOS MUNI","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201752/pdf"
"WPR25LA292","ACC","201727","2025-09-23T15:00:00Z","Fallbrook","California","United States",,"N766EE","18260217","false","Aviation","",,,"Minor","0","0","1","1",,,,,"33.352499999999999","-117.24516","CESSNA","182N","AIR","L18","Fallbrook Community Airpark","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201727/pdf"
