"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"ERA26LA080","ACC","202224","2025-12-28T18:45:00Z","Frostproof","Florida","United States",,"N5062V","VAC-50","false","Aviation","",,,"None","0","0","0","0",,,,,"27.751511000000001","-81.559107999999995","VARGA AIRCRAFT CORP.","2150A","AIR","52FL","Lake Clinch Airpark","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202224/pdf"
"ERA26LA082","ACC","202232","2025-12-21T17:41:00Z","Pembroke Pines","Florida","United States",,"N156WM","4496156","false","Aviation","",,,"None","0","0","0","0",,,,,"26.003805","-80.441237000000001","PIPER","PA-44-180","AIR","HWO","NORTH PERRY","false","2",,,"INST","091","Substantial",,"FIXED WING HOLDING COMPANY INC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202232/pdf"
"ERA26LA075","ACC","202199","2025-12-20T19:15:00Z","Hawthorne","Florida","United States",,"N656B","3199","false","Aviation","",,,"None","0","0","0","0","0",,,,"29.563431000000001","-82.018460000000005","AVIAT AIRCRAFT INC","A-1C-200","AIR","N/A",,"false","1",,,"PERS","091","Substantial",,,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202199/pdf"
"ERA26LA089","ACC","202275","2025-12-19T11:18:00Z","Winter Haven","Florida","United States",,"N818SW","B-279","false","Aviation","",,,"None","0","0","0","0",,,,,"28.066326","-81.747687999999997","ALON","A-2A","AIR","GIF","WINTER HAVEN RGNL","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202275/pdf"
"ERA26LA074","ACC","202198","2025-12-16T19:00:00Z","Fort Lauderdale","Florida","United States",,"N472A","2843744","false","Aviation","",,,"None","0","0","0","0","0",,,,"26.071667000000001","-80.149693999999997","PIPER AIRCRAFT INC","PA-28-181","AIR","FXE","FORT LAUDERDALE EXEC","false","1",,,"INST","091","Substantial","VMC","ARCHER AIRCRAFT LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202198/pdf"
"ERA26LA068","ACC","202152","2025-12-11T12:25:00Z","Fort Pierce","Florida","United States",,"N620AC","2843755","false","Aviation","",,,"None","0","0","0","0","0",,,,"27.488683999999999","-80.366288999999995","PIPER","PA-28-181","AIR","FPR","TREASURE COAST INTL","false","1",,,"PERS","091","Substantial","VMC","ARI BEN AVIATOR INC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202152/pdf"
"ERA26LA065","ACC","202132","2025-12-09T00:53:00Z","Cocoa","Florida","United States",,"N95KC","TE-203","false","Aviation","",,,"Minor","0","0","1","0","1",,,,"28.367694","-80.799358999999995","BEECH","95-C55","AIR",,,"false","2",,,"INST","091","Substantial",,,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202132/pdf"
"ERA26LA063","ACC","202129","2025-12-08T16:00:00Z","DeLand","Florida","United States",,"N64859","17275636","false","Aviation","",,,"Serious","0","1","1","2",,,,,"29.067031","-81.283756999999994","CESSNA","172","AIR","DED","DeLand Municipal Airport","false","1",,,"INST","091","Substantial",,,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202129/pdf"
"ERA26LA062","ACC","202124","2025-12-07T19:30:00Z","Pensacola","Florida","United States",,"N6542H","17265482","false","Aviation","",,,"Minor","0","0","4","4","0",,,,"30.477163000000001","-87.177968000000007","CESSNA","172M","AIR","PNS","PENSACOLA INTL","false","1",,,"PERS","091","Substantial","IMC","OWENS FLIGHT TRAINING LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202124/pdf"
"ERA26LA060","ACC","202094","2025-11-28T15:00:00Z","Okeechobee","Florida","United States",,"N711","CCX-1865-0039","false","Aviation","",,,"None","0","0","0","0",,,,,"27.266023000000001","-80.851042000000007","APACHE CUB SYSTEMS CO LLC","CCX-1865","AIR","OBE","OKEECHOBEE COUNTY","false","1",,,"PERS","091","Substantial","VMC","APACHE CUB SYSTEMS COMPANY LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202094/pdf"
"ERA26LA058","ACC","202087","2025-11-26T06:25:00Z","Inverness","Florida","United States",,"N48TH","450","false","Aviation","",,,"None","0","0","0","0",,,,,"28.801570000000002","-82.316806999999997","HUEBBE TOM","MAX TH","AIR","INF","INVERNESS","false","1",,,"PERS","091","Substantial",,,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202087/pdf"
"ERA26LA056","ACC","202063","2025-11-24T16:27:00Z","South Brooksville","Florida","United States",,"N8328P",,"false","Aviation","",,,"None","0","0","0","0","0",,,,,,"PIPER","PA-24-180",,,,"false",,,,"PERS","091",,"VMC",,"In work",,,"",""
