NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude ,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,source_file
ANC26LA008,ACC,202156,2025-12-12T18:01:00Z,Palmer,Alaska,United States,,N20305,17261176,False,Aviation,,,,,0.0,0.0,0.0,0.0,,,,,61.588913,-149.08635,CESSNA,172M,AIR,PAQ,Palmer Municipal Airport,false,1,,,INST,091,Substantial,VMC,,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202156/pdf,Alaska.csv
ANC26LA007,ACC,202049,2025-11-24T16:09:00Z,Wasilla,Alaska,United States,,N794AK,,False,Aviation,,,,,0.0,0.0,0.0,0.0,,,,,,,JUNIOR DANIEL,DANCHINI CUB,,,,false,,,,,091,,VMC,,In work,,,,,Alaska.csv
ANC26LA005,ACC,202027,2025-11-16T22:40:00Z,Eek,Alaska,United States,,N4112D,31-8353004,False,Aviation,,,,,0.0,0.0,0.0,0.0,,,,,60.215306,-162.04337,PIPER,PA-31-350,AIR,EEK,EEK,false,2,,SCHD,BUS,135,Substantial,VMC,Yute Air,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202027/pdf,Alaska.csv
ANC26LA006,ACC,202048,2025-11-08T15:00:00Z,Talkeetna,Alaska,United States,,N5188H,14-506,False,Aviation,,,,,0.0,0.0,0.0,0.0,,,,,62.271789,-150.13243,PIPER,PA-14,AIR,PATK,,false,1,,,PERS,091,Substantial,VMC,,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202048/pdf,Alaska.csv
ANC26LA001,ACC,201826,2025-10-07T15:56:00Z,Petersburg,Alaska,United States,,N80628,17269062,False,Aviation,,,,,0.0,0.0,0.0,0.0,,,,,56.923233,-133.30215,CESSNA,172N,AIR,,,false,1,,,INST,091,Substantial,VMC,,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201826/pdf,Alaska.csv
ANC25LA117,ACC,201809,2025-09-30T20:42:00Z,Kotlik,Alaska,United States,,N16SC,31-639,False,Aviation,,,,,0.0,0.0,0.0,0.0,,,,,63.030667,-163.53266,PIPER,PA-31,AIR,PFKO,Kotlik Airport,false,2,,SCHD,BUS,135,Substantial,VMC,Paklook Air,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201809/pdf,Alaska.csv
ANC25LA110,ACC,201705,2025-09-22T17:40:00Z,Healy,Alaska,United States,,N976E,208B0976,False,Aviation,,,,,0.0,0.0,0.0,0.0,,,,,64.006104,-148.23198,CESSNA,208B,AIR,PVT,Decker Airstrip,false,1,,SCHD,BUS,135,Substantial,,WRIGHT AIR SERVICE INC,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201705/pdf,Alaska.csv
ANC25LA112,ACC,201746,2025-09-21T21:45:00Z,Yakataga,Alaska,United States,,N4282F,46182,False,Aviation,,,,,0.0,0.0,0.0,0.0,,,,,60.094722,-142.70333,CESSNA,172,AIR,19AK,,false,1,,,PERS,091,Substantial,,,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201746/pdf,Alaska.csv
ANC25LA111,ACC,201707,2025-09-20T13:00:00Z,McGrath,Alaska,United States,,N217WM,SQ12-0012,False,Aviation,,,,,0.0,0.0,0.0,0.0,,,,,62.954198,-155.64979,217WHISKEYMIKE LLC,SQ12,AIR,,,true,1,,,PERS,091,Substantial,VMC,BACKCOUNTRY ADVENTURES LLC,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201707/pdf,Alaska.csv
ANC25LA118,ACC,201873,2025-09-19T13:50:00Z,Palmer,Alaska,United States,,N803R,001001,False,Aviation,,,,,0.0,0.0,0.0,0.0,,,,,61.436111,-148.67805,TOCI GABE C G,SUPA,AIR,,,false,1,,,PERS,091,Substantial,,,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201873/pdf,Alaska.csv
