NtsbNo,OnGroundInjuryCount,FAR_Encoded,Lowest_Cloud_Condition_Encoded,EngineType_Encoded,MinorInjuryCount,State_Encoded,AirportID_Encoded,Model_Encoded,AirCraftDamage_Encoded,Scheduled_Encoded,Condition_of_Light_Encoded,Wind_Angle,Findings_Encoded,AirCraftCategory_Encoded,AmateurBuilt_Encoded,Wind_Speed_Knots,Operator_Encoded,Geo_Region_Cluster,EventType_Encoded,Make_Encoded,WeatherCondition_Encoded,FatalInjuryCount,Visibility_Encoded,City_Encoded,HighestInjuryLevel_Encoded,Lowest_Ceiling_Encoded,SeriousInjuryCount,ProbableCause_Encoded,HasSafetyRec_Encoded,NumberOfEngines_Clean,OnboardInjuryCount,PurposeOfFlight_Encoded
ANC26LA008,0,0,7,17,0,0,454,49,3,6,2,-1,196,0,0,5,632,2,0,109,2,0,4,556,2,7,0,0,0,1,0,16
ANC26LA005,0,14,8,17,0,0,213,661,3,3,3,100,473,0,0,13,680,2,0,362,2,0,4,197,2,7,0,0,0,2,0,6
ANC26LA006,0,0,7,17,0,0,456,621,3,6,1,-1,701,0,0,7,632,2,0,362,2,0,3,717,2,5,0,211,0,1,0,23
ANC26LA001,0,0,9,17,0,0,90,50,3,6,1,50,707,0,0,3,632,2,0,109,2,0,4,577,2,3,0,213,0,1,0,16
ANC25LA117,0,14,6,17,0,0,464,660,3,3,1,180,473,0,0,10,467,2,0,362,2,0,4,359,2,7,0,866,0,2,0,6
ANC25LA110,0,14,7,17,0,0,479,109,3,3,1,-1,87,0,0,10,657,2,0,109,1,0,4,284,2,7,0,866,0,1,0,6
ANC25LA112,0,0,7,17,0,0,26,36,3,6,1,-1,196,0,0,0,632,2,0,109,1,0,4,803,2,7,0,0,0,1,0,23
ANC25LA111,0,0,7,17,0,0,218,802,3,6,1,-1,1082,0,1,5,100,2,0,1,2,0,7,434,2,7,0,0,0,1,0,23
ANC25LA118,0,0,7,17,0,0,287,819,3,6,1,-1,1078,0,0,3,632,2,0,479,1,0,4,556,2,7,0,0,0,1,0,23
ANC25LA121,0,0,7,17,0,0,479,548,3,6,1,-1,1078,0,0,0,632,2,0,313,1,0,4,404,2,7,0,0,0,1,0,23
ANC25LA108,0,0,8,17,0,0,401,627,3,6,1,-1,152,0,0,0,632,2,0,362,2,0,4,172,2,7,0,1010,0,1,0,23
ANC25LA109,0,0,7,17,1,0,347,619,3,6,1,-1,987,0,0,4,632,2,0,362,1,0,4,359,1,7,0,399,0,1,1,23
ANC25LA107,0,0,7,17,0,0,195,400,3,6,1,10,140,0,0,10,632,2,0,159,1,0,4,51,2,7,0,0,0,1,0,23
ANC25LA120,0,0,8,17,0,0,479,627,3,6,1,360,1130,0,0,4,632,2,0,362,2,0,4,693,2,7,0,1010,0,1,0,23
ANC25LA105,0,0,8,17,0,0,586,551,3,6,1,40,707,0,0,3,632,2,0,313,2,0,4,587,2,3,1,0,0,1,1,23
ANC25LA103,0,0,8,17,0,0,479,618,3,6,1,50,1082,0,0,7,632,2,0,362,1,0,4,270,2,7,1,0,0,1,1,23
ANC25LA104,0,0,7,17,0,0,195,793,3,6,1,150,1082,0,1,14,632,2,0,278,2,0,4,115,2,3,0,0,0,1,0,23
ANC25LA106,0,0,7,17,0,0,441,593,3,6,1,-1,1131,0,0,0,632,2,0,94,1,0,4,172,2,7,0,1522,0,1,0,23
ANC25LA102,0,0,7,17,0,0,518,222,3,6,1,-1,196,0,0,0,632,2,0,36,1,0,4,749,2,7,0,0,0,1,0,23
ANC25LA101,0,0,7,17,0,0,479,62,3,6,1,-1,1078,0,0,0,632,2,0,109,2,0,4,794,2,7,0,0,0,1,0,23
ANC25LA100,0,0,8,17,0,0,218,217,3,6,1,220,1082,0,0,5,632,2,0,116,2,0,4,710,2,7,0,0,0,1,0,23
ANC25LA099,0,14,7,17,0,0,479,714,3,2,1,180,1064,7,0,11,456,2,0,399,2,0,4,578,2,3,0,658,0,1,0,6
ANC25LA094,0,0,9,17,2,0,176,650,3,6,1,120,707,0,0,7,632,2,0,362,2,0,4,109,1,7,0,556,0,1,2,23
ANC25LA093,0,0,7,17,0,0,394,632,3,6,1,-1,176,0,0,0,632,2,0,362,1,0,4,15,2,3,0,939,0,1,0,16
ANC25LA092,0,0,8,17,0,0,290,286,3,6,1,-1,137,7,0,0,596,2,0,195,2,0,4,336,2,3,0,1496,0,1,0,27
ANC25LA095,0,0,7,17,0,0,195,487,3,6,1,-1,1082,0,0,10,185,2,0,257,1,0,4,49,2,7,0,0,0,1,0,6
ANC25LA097,0,13,8,14,0,0,534,294,3,2,1,-1,760,7,0,7,570,2,0,19,2,0,4,682,1,3,0,1439,0,1,0,9
ANC25LA091,0,19,8,17,0,0,461,887,3,6,1,-1,258,13,0,0,640,2,0,495,2,0,4,500,2,7,0,0,0,1,0,29
ANC25LA087,0,0,7,4,0,0,401,637,3,6,1,-1,517,0,0,9,632,2,0,362,2,0,4,297,1,3,0,413,0,1,0,23
ANC25LA088,0,0,7,4,0,0,401,67,3,6,0,-1,1111,0,0,0,632,2,0,109,2,0,4,172,2,7,0,1000,0,1,0,23
ANC25LA096,0,0,8,4,0,0,401,242,3,2,1,-1,678,0,0,9,632,2,0,109,2,0,4,276,1,7,0,1520,0,1,0,23
ANC25LA090,0,19,7,4,0,0,401,627,3,6,1,-1,1138,0,0,9,542,2,0,362,2,0,4,794,1,3,0,1461,0,1,0,30
ANC25LA085,0,14,4,4,0,0,401,405,3,2,1,-1,733,0,0,9,508,2,0,165,2,0,4,684,2,7,0,1085,0,1,0,6
ANC25LA084,0,0,7,17,0,0,553,209,3,6,1,-1,707,0,0,0,632,2,0,10,2,0,4,794,2,3,1,0,0,1,1,23
ANC25LA083,0,0,9,4,0,0,393,232,3,6,1,-1,873,0,0,9,632,2,0,48,2,0,4,115,2,3,0,1090,0,1,0,23
ANC25LA082,0,0,8,4,0,0,479,872,3,6,1,-1,1229,0,0,9,632,2,0,109,2,0,4,804,2,3,0,1059,0,1,0,21
ANC25LA081,0,14,9,13,0,0,394,109,3,3,1,-1,8,0,0,9,312,2,0,109,2,0,4,15,2,7,0,847,0,1,0,6
ANC25LA080,0,0,9,17,1,0,593,22,3,6,1,-1,1124,0,0,0,632,2,0,109,2,0,4,684,2,7,1,211,0,1,2,16
ANC25FA079,0,0,7,17,0,0,201,505,3,6,1,290,707,0,0,4,632,2,0,362,2,1,4,178,0,7,0,0,0,1,1,23
ANC25LA078,0,14,8,4,0,0,261,871,3,2,1,-1,566,0,0,9,152,2,0,109,2,0,4,270,1,3,0,1402,0,1,0,6
ANC25LA077,0,14,7,17,0,0,373,111,3,2,1,-1,41,0,0,10,676,2,0,109,2,0,4,804,2,3,0,1496,0,1,0,6
ANC25LA089,0,0,9,4,0,0,401,619,3,6,1,-1,238,0,0,9,632,2,0,362,2,0,4,198,1,7,0,946,0,1,0,23
ANC25LA072,0,0,9,4,0,0,118,627,3,6,1,-1,137,0,0,9,632,2,0,362,2,0,4,178,1,3,0,1117,0,1,0,23
ANC25LA074,0,0,8,4,0,0,401,345,3,6,1,-1,973,0,0,9,492,2,0,165,2,0,4,482,2,3,0,1065,0,1,0,6
ANC25LA075,0,0,7,4,0,0,401,627,3,6,1,-1,1142,0,0,9,632,2,0,362,2,0,4,556,1,7,0,635,0,1,0,23
ANC25LA073,0,0,9,4,0,0,401,626,3,6,1,-1,892,0,0,9,632,2,0,362,2,0,4,556,1,7,0,940,0,1,0,23
ANC25LA070,0,0,9,4,0,0,273,35,3,6,1,-1,137,0,0,9,632,2,0,109,2,0,4,297,1,3,0,1144,0,1,0,23
ANC25LA068,0,0,8,4,0,0,401,345,3,6,1,-1,191,0,0,9,428,2,0,165,2,0,4,357,2,7,0,962,0,1,0,6
ANC25LA065,0,0,8,17,1,0,375,69,3,6,1,100,707,0,0,9,632,2,0,109,2,0,4,351,2,3,3,233,0,1,4,23
ANC25LA067,0,14,8,13,0,0,237,178,3,2,1,-1,896,0,0,9,143,2,0,402,2,0,4,213,1,3,0,1101,0,2,0,23
ANC25LA062,0,0,8,4,0,0,586,213,3,6,1,-1,496,0,0,9,321,2,0,116,2,0,4,776,1,3,0,944,0,1,0,16
ANC25LA060,0,0,7,17,0,0,479,636,3,6,1,130,1118,0,0,4,632,2,0,362,2,0,4,113,2,3,0,211,0,1,0,23
ANC25LA064,0,14,7,4,0,0,479,714,3,2,1,-1,975,7,0,11,204,2,0,399,2,0,4,556,2,7,0,898,0,1,0,6
ANC25LA056,0,0,9,4,0,0,401,45,3,6,1,-1,907,0,0,9,632,2,0,109,2,0,4,423,1,3,0,872,0,1,0,23
ANC25LA066,0,0,9,4,0,0,479,626,3,6,1,-1,656,0,0,9,632,2,0,362,2,0,4,105,2,3,0,1127,0,1,0,23
ANC25LA058,0,0,9,4,0,0,401,5,3,6,1,-1,1177,0,0,7,632,2,0,451,2,0,4,7,2,3,0,1034,0,1,0,23
ANC25LA059,0,0,7,4,0,0,401,35,3,6,1,-1,506,0,0,9,632,2,0,109,2,0,4,174,1,7,0,414,0,1,0,23
ANC25LA055,0,0,7,17,0,0,152,666,3,6,1,-1,707,0,0,7,632,2,0,362,2,0,4,61,2,3,2,0,0,1,2,16
ANC25LA069,0,0,7,17,0,0,467,604,3,6,1,-1,1082,0,0,0,27,2,0,109,1,0,4,595,2,7,0,0,0,1,0,34
ANC25LA052,0,0,7,17,2,0,401,1,3,6,1,-1,254,0,0,7,632,2,0,451,2,0,4,87,1,3,0,1161,0,1,2,23
ANC25LA051,0,0,8,4,0,0,401,619,3,6,1,-1,653,0,0,10,632,2,0,362,2,0,4,213,2,3,1,1094,0,1,1,23
ANC25LA071,0,0,7,17,0,0,553,627,3,6,1,-1,1130,0,0,0,115,2,0,362,1,0,4,794,2,7,0,1125,0,1,0,16
ANC25FA044,0,14,7,17,0,0,86,717,3,3,1,70,707,7,0,7,479,2,0,398,0,2,4,338,0,7,0,236,0,1,2,6
ANC25LA041,0,0,7,4,0,0,401,630,3,6,1,-1,1086,0,0,9,632,2,0,362,2,0,4,709,2,7,0,905,0,1,0,23
ANC25LA057,0,0,7,4,0,0,478,242,3,6,1,-1,813,0,0,9,632,2,0,109,2,0,4,738,2,3,0,1310,0,1,0,23
ANC25LA039,0,0,7,4,0,0,401,338,3,6,1,-1,1157,0,0,9,632,2,0,468,2,0,4,794,1,3,0,785,0,1,0,23
ANC25FA035,0,14,7,17,0,0,273,841,3,3,1,190,707,0,0,7,567,2,0,109,2,2,4,478,0,7,1,1496,0,1,3,6
ANC25LA036,0,0,7,4,1,0,479,1,3,6,3,-1,936,0,0,9,632,2,0,451,2,0,4,506,1,7,0,736,0,1,1,23
ANC25LA034,0,0,7,4,2,0,142,74,3,6,1,-1,696,0,0,9,632,2,0,109,2,0,4,257,1,3,0,610,0,1,2,23
ANC25LA033,0,0,7,4,0,0,479,627,3,6,1,-1,234,0,0,9,632,2,0,362,2,0,4,55,2,7,0,614,0,1,0,21
ANC25LA029,0,0,7,4,0,0,391,50,3,6,1,-1,161,0,0,9,481,2,0,109,2,0,4,422,1,3,0,1605,0,1,0,16
ANC25LA026,0,0,7,17,0,0,218,210,3,6,1,80,254,0,0,8,632,2,0,10,2,0,4,341,2,7,0,0,0,1,0,23
ANC25LA025,0,0,8,4,1,0,235,39,3,6,1,-1,866,0,0,3,632,2,0,109,2,0,4,213,1,3,0,868,0,1,1,23
ANC25LA023,0,0,7,4,0,0,552,36,3,6,1,-1,52,0,0,9,89,2,0,109,2,0,4,87,2,3,0,1050,0,1,0,23
ANC25LA027,0,14,8,17,0,0,509,695,3,2,1,-1,707,0,0,0,621,2,0,361,0,0,4,683,2,7,0,1528,0,1,0,6
ANC25LA030,0,0,7,4,0,0,207,242,3,6,1,-1,1046,0,0,9,632,2,0,109,2,0,4,682,1,3,0,343,0,1,0,23
ANC25LA024,0,0,8,4,1,0,479,627,3,6,1,-1,1095,0,0,9,632,2,0,362,2,0,4,556,1,3,0,668,0,1,1,23
ANC25LA022,0,0,8,4,1,0,125,627,3,6,1,-1,604,0,0,3,632,2,0,362,2,0,4,14,1,7,0,10,0,1,1,23
ANC25LA019,0,0,7,4,0,0,94,627,3,6,1,-1,254,0,0,3,632,2,0,362,2,0,4,776,1,3,0,218,0,1,0,23
ANC25MA018,0,14,8,17,0,0,426,109,0,3,1,-1,707,0,0,9,106,2,0,473,2,10,4,501,0,3,0,41,0,1,10,23
ANC25LA017,0,0,7,4,0,0,394,78,3,6,1,-1,1297,0,0,3,632,2,0,109,2,0,4,15,2,3,0,1412,0,1,0,23
ANC25LA016,0,14,8,4,0,0,235,661,3,2,1,-1,908,0,0,9,659,2,0,362,2,0,4,213,2,3,0,1265,0,2,0,6
ANC25LA015,0,14,7,4,0,0,281,469,3,3,1,-1,124,0,0,9,632,2,0,228,2,0,4,497,1,3,0,1503,0,1,0,6
ANC25LA014,0,0,7,4,0,0,394,50,3,6,1,-1,1257,0,0,6,632,2,0,109,2,0,4,15,1,3,0,1609,0,1,0,16
ANC25LA012,0,0,7,4,0,0,478,627,3,6,1,-1,885,0,0,9,632,2,0,362,2,0,4,556,2,3,0,1289,0,1,0,23
DCA25LA061,0,7,7,17,0,0,503,146,3,2,1,360,799,0,0,5,361,2,0,304,2,0,4,696,2,7,0,0,0,4,0,6
ANC25LA009,0,0,7,4,0,0,401,62,3,6,1,-1,468,0,0,9,632,2,0,109,2,0,4,198,1,3,0,27,0,1,0,23
ANC25LA008,0,19,9,4,0,0,446,365,3,6,1,-1,929,0,0,9,426,2,0,138,2,0,4,15,2,7,1,526,0,1,1,32
ANC25LA007,0,0,7,4,0,0,478,236,3,6,1,-1,196,0,0,9,632,2,0,47,2,0,4,674,1,7,0,1336,0,1,0,23
ANC25LA006,0,0,7,4,0,0,401,675,3,6,1,-1,504,0,0,9,632,2,0,362,2,0,4,717,1,3,0,557,0,1,0,23
ANC25LA003,0,0,7,4,0,0,586,242,3,6,1,-1,1118,0,0,9,141,2,0,109,2,0,4,776,1,3,0,1179,0,1,0,16
ANC25LA002,0,0,7,4,0,0,401,637,3,6,1,-1,830,0,0,9,632,2,0,362,2,0,4,339,1,3,0,1558,0,1,0,23
ANC25FA001,0,0,7,17,0,0,152,62,3,6,1,90,707,0,0,15,632,2,0,109,2,1,4,61,0,7,1,0,0,1,2,23
ANC25LA004,0,0,7,4,0,0,401,870,3,6,1,-1,862,0,0,9,632,2,0,109,2,0,4,682,1,7,0,890,0,1,0,23
ANC24FA102,0,0,7,4,0,0,217,99,3,2,1,-1,869,0,0,9,343,2,0,109,2,1,4,99,0,7,0,76,0,1,1,27
ANC24LA095,0,14,9,4,0,0,437,636,3,2,1,-1,649,0,0,9,182,2,0,362,2,0,4,56,1,3,0,953,0,1,0,6
ANC24LA104,0,14,7,4,0,0,479,636,3,2,1,-1,637,0,0,9,632,2,0,362,2,0,4,178,1,7,0,1230,0,1,0,6
ANC24LA103,0,0,8,4,0,0,401,33,3,6,1,-1,1215,0,0,9,632,2,0,109,2,0,4,435,2,7,0,1452,0,1,0,23
ANC24FA094,0,0,7,17,0,0,347,106,0,2,3,280,707,0,0,13,444,2,0,109,0,4,5,632,0,7,0,605,0,1,4,23
ANC24LA100,0,0,8,4,0,0,401,627,3,6,1,-1,140,0,0,9,632,2,0,362,2,0,4,556,1,3,0,632,0,1,0,23
ANC24LA099,0,0,8,4,0,0,401,627,3,6,1,-1,152,0,0,9,632,2,0,362,2,0,4,682,1,3,0,1208,0,1,0,23
ANC24LA098,0,0,8,4,0,0,479,627,3,6,1,-1,79,0,0,9,632,2,0,362,2,0,4,213,2,3,0,999,0,1,0,23
ANC24FA092,0,0,7,17,0,0,12,512,3,6,1,90,707,0,1,3,632,2,0,283,2,1,4,776,0,3,0,1381,0,1,1,23
ANC24LA097,0,0,7,4,0,0,478,4,3,6,1,-1,831,0,0,9,632,2,0,451,2,0,4,404,2,3,0,780,0,1,0,23
ANC24LA096,0,0,7,4,0,0,478,72,3,6,1,-1,1118,0,0,9,632,2,0,109,2,0,4,77,1,3,0,723,0,1,0,23
ANC24LA093,0,0,7,4,1,0,375,64,3,6,1,-1,626,0,0,9,632,2,0,109,2,0,4,15,1,7,0,906,0,1,1,23
ANC24FA091,0,0,7,17,0,0,494,217,3,6,1,70,707,0,0,4,632,2,0,116,2,2,4,500,0,7,0,0,0,1,2,23
ANC24FA089,0,14,7,14,4,0,174,102,3,2,1,-1,837,7,0,9,191,2,0,73,0,1,4,351,0,4,0,869,0,1,5,6
ANC24LA090,0,0,7,4,0,0,479,630,3,6,1,-1,1178,0,0,9,632,2,0,362,2,0,4,173,1,7,0,299,0,1,0,23
ANC24LA088,0,0,8,17,0,0,478,627,3,6,1,-1,1132,0,0,9,632,2,0,362,2,0,4,128,2,3,0,713,0,1,0,23
ANC24LA087,0,0,7,4,0,0,401,222,3,2,1,-1,628,0,0,9,632,2,0,80,2,0,4,404,2,3,0,941,0,1,0,23
ANC24FA085,0,0,7,4,0,0,590,627,3,2,1,-1,27,0,0,9,632,2,0,362,2,1,4,434,0,3,0,626,0,1,1,6
ANC24LA086,0,0,9,4,0,0,401,21,3,6,1,-1,1181,0,0,9,632,2,0,109,2,0,4,734,2,3,2,366,0,1,2,23
ANC24LA083,0,0,7,4,0,0,479,675,3,2,1,-1,81,0,0,9,632,2,0,362,2,0,4,6,2,7,0,1089,0,1,0,23
ANC24LA082,0,0,8,4,0,0,401,636,3,6,1,-1,513,0,0,9,632,2,0,362,2,0,4,630,2,3,0,17,0,1,0,23
ANC24LA081,0,0,8,4,0,0,479,74,3,6,1,-1,1089,0,0,9,632,2,0,109,2,0,4,351,2,3,0,359,0,1,0,6
ANC24LA079,0,14,10,4,2,0,355,714,3,2,1,-1,659,7,0,9,82,2,0,399,2,0,4,556,1,3,0,643,0,1,2,21
ANC24LA080,0,0,7,4,0,0,401,627,3,6,1,-1,152,0,0,9,632,2,0,362,2,0,4,25,2,3,0,1203,0,1,0,23
ANC24LA078,0,0,8,4,0,0,478,35,3,6,1,-1,1131,0,0,9,632,2,0,109,2,0,4,284,2,3,0,1167,0,1,0,23
ANC24LA075,0,14,8,4,0,0,479,242,3,2,1,-1,926,0,0,9,632,2,0,109,2,0,4,213,1,3,0,731,0,1,0,6
ANC24LA076,0,14,8,4,0,0,479,344,3,2,1,-1,1118,0,0,9,126,2,0,165,2,0,4,682,2,3,0,724,0,1,0,6
ANC24LA074,0,14,7,4,0,0,441,685,3,3,2,-1,1116,0,0,10,658,2,0,362,2,0,4,213,2,6,0,604,0,2,0,34
ANC24LA072,0,0,9,4,0,0,586,672,3,6,1,-1,1118,0,0,9,632,2,0,362,2,0,4,264,1,3,0,725,0,1,0,23
ANC24LA073,0,14,7,4,0,0,446,414,3,2,1,-1,344,0,0,3,506,2,0,162,2,0,4,15,2,7,0,132,0,1,0,6
ANC24LA069,0,0,8,4,0,0,290,256,0,6,1,-1,580,0,0,4,632,2,0,70,1,3,4,271,0,3,0,853,0,1,3,23
ANC24LA068,0,0,7,4,0,0,401,347,3,2,1,-1,144,0,0,9,483,2,0,165,2,0,4,567,2,3,0,1205,0,1,0,21
ANC24LA064,0,14,7,13,0,0,235,410,3,2,1,-1,362,0,0,9,509,2,0,165,2,0,4,578,2,7,0,258,0,1,0,6
ANC24LA066,0,11,7,4,0,0,218,353,3,2,1,-1,669,0,0,9,201,2,0,139,2,0,4,341,2,3,0,251,0,2,0,6
ANC24LA062,0,0,9,4,1,0,465,519,3,6,1,-1,125,0,1,3,632,2,0,215,2,0,4,734,1,7,0,705,0,1,1,23
ANC24LA061,0,0,7,4,0,0,291,627,3,6,1,-1,1119,0,0,9,632,2,0,362,2,0,4,358,2,6,0,762,0,1,0,23
ANC24LA060,0,14,7,4,0,0,375,414,3,2,1,-1,135,0,0,9,618,2,0,162,2,0,4,709,2,3,0,1528,0,1,0,6
ANC24LA057,0,0,8,4,0,0,290,404,3,6,1,-1,258,0,0,9,370,2,0,166,2,0,4,336,2,3,0,113,0,1,0,6
ANC24LA055,0,14,7,4,0,0,117,468,3,3,1,-1,1131,0,0,9,255,2,0,229,2,0,4,741,2,7,0,709,0,1,0,6
ANC24LA058,0,0,7,4,0,0,479,78,3,6,1,-1,1147,0,0,9,632,2,0,109,2,0,4,149,1,7,0,1353,0,1,0,23
ANC24LA053,0,0,8,4,0,0,465,35,3,6,1,-1,137,0,0,9,632,2,0,109,2,0,4,734,1,3,0,1215,0,1,0,23
ANC24LA059,0,0,7,4,0,0,438,87,3,6,1,-1,1124,0,0,9,632,2,0,109,2,0,4,15,1,3,0,1128,0,1,0,23
ANC24LA054,0,0,7,4,0,0,401,345,3,6,1,-1,1153,0,0,9,124,2,0,165,2,0,4,6,2,3,0,1247,0,1,0,6
ANC24FA052,0,0,7,17,0,0,225,627,3,6,1,180,707,0,0,9,72,2,0,362,2,2,4,463,0,3,0,595,0,1,2,16
ANC24LA050,0,19,7,4,0,0,120,365,3,6,1,-1,1118,0,0,9,623,2,0,138,2,0,4,55,1,3,0,697,0,1,0,29
ANC24LA049,0,0,9,4,0,0,479,346,3,2,1,-1,344,0,0,9,590,2,0,165,2,0,4,594,2,3,1,127,0,1,1,21
ANC24LA046,0,14,7,17,0,0,43,99,3,2,1,-1,639,0,0,9,671,2,0,109,2,0,4,213,1,3,0,1161,0,1,0,6
